APPLICATION_NUMBER,TARGET
123724268,0.06053392
123456549,0.27261525
123428178,0.14319083
123619984,0.07825989
123671104,0.01445324
123632747,0.027694175
123728867,0.062394142
123459592,0.10775124
123595888,0.010010439
123480224,0.026840333
123471321,0.080545016
123725319,0.03208868
123500343,0.029740537
123654690,0.11971905
123434840,0.030429449
123519890,0.08735987
123464497,0.1261648
123689418,0.021587247
123699541,0.031628788
123667053,0.08107299
123493724,0.078731254
123540873,0.005644102
123683158,0.081464455
123675730,0.030876193
123569456,0.08027506
123590315,0.07406481
123608042,0.22762498
123637247,0.023318445
123696300,0.04363703
123645299,0.14817272
123478448,0.016068865
123552626,0.104657836
123660023,0.09518481
123458715,0.08769115
123673488,0.016412655
123445200,0.0094668
123728923,0.07763173
123609395,0.0626952
123598270,0.10088228
123625898,0.0496735
123473077,0.037190523
123545605,0.032531343
123447425,0.10107487
123433257,0.027390404
123468285,0.08302208
123699079,0.28163382
123720024,0.050972722
123488000,0.34065887
123468623,0.07038074
123673653,0.0101600485
123438396,0.023752403
123478434,0.06507999
123573573,0.06190095
123663154,0.08692092
123534174,0.08269233
123448203,0.08587793
123491207,0.053030938
123486104,0.036622204
123672936,0.041813202
123440414,0.062735535
123708919,0.03657817
123436816,0.018583
123565375,0.041315533
123717492,0.033279687
123496348,0.08203658
123543275,0.08956417
123651430,0.08966745
123594082,0.19975348
123506762,0.041853577
123697915,0.094470926
123675858,0.09225212
123652118,0.085870825
123560179,0.024180597
123570441,0.08738792
123574171,0.09281147
123658397,0.034339286
123557517,0.034645464
123459087,0.09139039
123616578,0.022308555
123707428,0.08441849
123455128,0.20849267
123576408,0.07814871
123478469,0.025602711
123511244,0.09527927
123613368,0.2734149
123508859,0.019436223
123447568,0.05893613
123561385,0.042018145
123462302,0.11592436
123583551,0.051699873
123680994,0.27350968
123460039,0.043041695
123595981,0.09446599
123511880,0.122144125
123658934,0.07638317
123674856,0.10344887
123629953,0.08293282
123674296,0.010565527
123680752,0.04778006
123493031,0.015602536
123426225,0.087397404
123696163,0.07921964
123609069,0.07483738
123608197,0.015628722
123682131,0.009163369
123548371,0.024362942
123666065,0.013437056
123691224,0.07051524
123610127,0.04288606
123609811,0.011594355
123603556,0.28537914
123576819,0.11843995
123666101,0.02453783
123599019,0.04103301
123714219,0.029843496
123450631,0.059454616
123591297,0.059798818
123640295,0.076746516
123435383,0.07018931
123648025,0.01307053
123607172,0.03229363
123576615,0.103038885
123689086,0.014455161
123431889,0.013018696
123433520,0.07051954
123552179,0.018387875
123572473,0.024370292
123521600,0.029864907
123571125,0.041947126
123532513,0.03337178
123599387,0.09355588
123617258,0.1775494
123492753,0.6134859
123570720,0.035685062
123571431,0.068058275
123507927,0.3066402
123591436,0.117716454
123626222,0.2532177
123638226,0.014170148
123655607,0.01808709
123500036,0.046654727
123430009,0.08277998
123695265,0.13177952
123537332,0.06600731
123665539,0.21880296
123501885,0.0571819
123686004,0.08532627
123724589,0.079584435
123692159,0.13775507
123671030,0.057449706
123484855,0.07537905
123442196,0.02240725
123641644,0.040860705
123628192,0.072538085
123441332,0.057224516
123709933,0.06111119
123525643,0.08273934
123655422,0.018334491
123676869,0.30827156
123576991,0.016932983
123691511,0.045984678
123590563,0.01574403
